latitude,longitude,ext_humidity,ext_pressure
0.5846463,33.5463441,96.1704,892.16327
0.5495654,33.4903264,97.48826,886.8816
0.5734196,33.4836547,96.97886,889.1405
1.0723428,34.2266467,85.560326,871.65076
0.55,33.45,97.48826,888.8886
0.6085124,33.4755214,96.97886,888.43805
0.5915265,33.5092512,96.97886,891.95654
0.5263976,33.5198182,97.17147,885.96277
0.6017292,33.473515,96.97886,890.5471
0.5644855,33.5066864,96.97886,888.6387
0.7285295,33.4683472,95.180374,890.9201
0.6134495,33.4840646,96.97886,888.33777
0.5617736,33.5359521,97.17147,891.2817
0.5943817,33.5201704,96.97886,890.8489
0.56781165,33.5556359,96.1704,889.85114
0.6083964,33.4826676,96.97886,889.944
0.5852952,33.4694337,96.97886,888.6387
0.0898191,32.4387002,94.470245,888.99146
0.57428735,33.5382096,96.97886,892.46045
1.1878917,30.7828167,90.97229,885.5473
0.5317979,33.5384153,97.17147,887.8652
0.6150487,33.4856704,96.97886,888.2375
0.594837,33.6446486,95.7468,893.0569
0.5647584,33.4700786,97.48826,886.7814
0.6035336,33.4743009,96.97886,889.944
0.1450783,32.5446583,91.25868,886.35284
0.6022071,33.4861567,96.97886,889.04004
0.5321849,33.4609567,97.48826,885.27997
0.5728841,33.5062207,96.97886,891.0501
